Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1_Free_spin,,,,2019-08-14 09:10:52,2019-08-14 09:10:53,1.132s,INCOMPLETE
,,,,,,,
Test Cases/STG_env/1_Free_Spin_CALL,,"https://staroad.atlassian.net/wiki/spaces/IPD/pages/461176986/NuRgs+API+Features+Use-case+M4-0012+Super+Wilds

#1 situation",,2019-08-14 09:10:52,2019-08-14 09:10:53,0.911s,FAILED
NG_top_level = new java.util.ArrayList(),,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_top_level.add(""booster_type"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_top_level.add(""currency"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_top_level.add(""player_id"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_top_level.add(""round_id"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_top_level.add(""spin_results"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
NG_spin_result = new java.util.ArrayList(),,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_spin_result.add(""balance"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
"NG_spin_result.add(""bet_value"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.002s,PASSED
"NG_spin_result.add(""features_triggered"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.002s,PASSED
"NG_spin_result.add(""line"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_spin_result.add(""reel_wins"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_spin_result.add(""reels"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_spin_result.add(""scatter_win"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_spin_result.add(""total_bet"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.003s,PASSED
"NG_spin_result.add(""total_win"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_spin_result.add(""transaction_id"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_spin_result.add(""transaction_time"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_spin_result.add(""transaction_type"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
NG_feature_trigger = new java.util.ArrayList(),,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_feature_trigger.add(""complete"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
"NG_feature_trigger.add(""feature_state"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
"NG_feature_trigger.add(""subfeatures"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_feature_trigger.add(""type"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
NG_feature_state = new java.util.ArrayList(),,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_feature_state.add(""free_spins_left"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_feature_state.add(""total_free_spin_count"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_feature_state.add(""total_free_spin_win_amount"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
NG_reel = new java.util.ArrayList(),,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
"NG_reel.add(""symbols"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.001s,PASSED
NG_reel_symbol1 = new java.util.ArrayList(),,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
"NG_reel_symbol1.add(""symbol"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
NG_reel_symbol2 = new java.util.ArrayList(),,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
"NG_reel_symbol2.add(""symbol"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
NG_reel_symbol3 = new java.util.ArrayList(),,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
"NG_reel_symbol3.add(""symbol"")",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.000s,PASSED
"sendRequestAndVerify(findTestObject(""STG/Wallet/Get_Session_Token"", [""url_krug_gw"":url_krug_gw, ""partner"":Partner, ""secret_key"":secret_key, ""userid"":Userid]))",,,,2019-08-14 09:10:53,2019-08-14 09:10:53,0.348s,FAILED
