Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2_reel_wins,,,,2019-08-14 09:23:29,2019-08-14 09:23:34,4.716s,INCOMPLETE
,,,,,,,
Test Cases/STG_env/2_reel_wins_CALL,,"https://staroad.atlassian.net/wiki/spaces/IPD/pages/461176986/NuRgs+API+Features+Use-case+M4-0012+Super+Wilds

#1 situation",,2019-08-14 09:23:30,2019-08-14 09:23:34,4.553s,FAILED
reel_wins = new java.util.ArrayList(),,,,2019-08-14 09:23:31,2019-08-14 09:23:31,0.001s,PASSED
"reel_wins[0] = ""line_config""",,,,2019-08-14 09:23:31,2019-08-14 09:23:31,0.003s,PASSED
"reel_wins[1] = ""line_number""",,,,2019-08-14 09:23:31,2019-08-14 09:23:31,0.000s,PASSED
"reel_wins[2] = ""of_kind""",,,,2019-08-14 09:23:31,2019-08-14 09:23:31,0.001s,PASSED
"reel_wins[3] = ""prize""",,,,2019-08-14 09:23:31,2019-08-14 09:23:31,0.000s,PASSED
"reel_wins[4] = ""right_to_left""",,,,2019-08-14 09:23:31,2019-08-14 09:23:31,0.001s,PASSED
"reel_wins[5] = ""symbol""",,,,2019-08-14 09:23:31,2019-08-14 09:23:31,0.001s,PASSED
"reel_wins[6] = ""wild_win""",,,,2019-08-14 09:23:31,2019-08-14 09:23:31,0.001s,PASSED
"sendRequestAndVerify(findTestObject(""STG/Wallet/Get_Session_Token"", [""url_krug_gw"":url_krug_gw, ""partner"":Partner, ""secret_key"":secret_key, ""userid"":Userid]))",,,,2019-08-14 09:23:31,2019-08-14 09:23:33,2.252s,PASSED
"M4_login = sendRequestAndVerify(findTestObject(""STG/RGS(M4)/M4_Login"", [""partner"":Partner, ""game_code"":Game_code, ""session_token"":session_token]))",,,,2019-08-14 09:23:33,2019-08-14 09:23:34,0.486s,PASSED
M4_login_user_id = M4_login_user_id,,,,2019-08-14 09:23:34,2019-08-14 09:23:34,0.001s,PASSED
"M4_init = sendRequestAndVerify(findTestObject(""STG/RGS(M4)/M4_init"", [""partner"":Partner, ""M4_recorder"":M4_recorder, ""M4_login_user_id"":M4_login_user_id]))",,,,2019-08-14 09:23:34,2019-08-14 09:23:34,0.284s,PASSED
rgs_session_token = rgs_session_token,,,,2019-08-14 09:23:34,2019-08-14 09:23:34,0.000s,PASSED
"for ([i = 0, i <= 500, (i++)])",,,,2019-08-14 09:23:34,2019-08-14 09:23:34,0.287s,FAILED
